pid,BG,C1,C2,C3,C4,C5,C6,C7,Mean_Dice
1.2.826.0.1.3680043.11827,0.99633783,0.8801205,0.93102455,0.90336734,0.8902346,0.8997929,0.89608127,0.90223366,0.9004078
1.2.826.0.1.3680043.11988,0.9935506,0.92921233,0.935282,0.93562824,0.9364014,0.92705804,0.93706036,0.94989777,0.93579143
1.2.826.0.1.3680043.12292,0.99678403,0.92472655,0.9364651,0.91897863,0.9182315,0.9220656,0.9227187,0.933836,0.9252888
1.2.826.0.1.3680043.1363,0.9980243,0.8873145,0.92572993,0.9034522,0.90803266,0.9007255,0.91339266,0.917012,0.90795135
1.2.826.0.1.3680043.14267,0.9954359,0.91938025,0.9404659,0.92691463,0.9260931,0.9249937,0.92099625,0.9328164,0.92738
1.2.826.0.1.3680043.1480,0.996334,0.9081558,0.92643857,0.91186154,0.9134111,0.9132599,0.91530216,0.9235448,0.91599625
1.2.826.0.1.3680043.15206,0.9932705,0.91319793,0.9309199,0.90681225,0.91211367,0.9044446,0.9138099,0.9219053,0.9147433
1.2.826.0.1.3680043.1573,0.9931222,0.9218465,0.94579875,0.9345674,0.9337261,0.9302059,0.92654324,0.91826946,0.9301368
1.2.826.0.1.3680043.17481,0.99374795,0.92036873,0.93042016,0.9196649,0.92648935,0.9272089,0.9272676,0.93644214,0.9268374
1.2.826.0.1.3680043.19388,0.99568933,0.92612976,0.9342857,0.9217421,0.9155453,0.9144373,0.9183779,0.9245359,0.9221505
1.2.826.0.1.3680043.20120,0.9953417,0.9337413,0.9442834,0.92455935,0.91227883,0.9146209,0.9206545,0.9324952,0.92609054
1.2.826.0.1.3680043.20928,0.99435586,0.9336013,0.9495145,0.93836784,0.93155414,0.93213165,0.93314207,0.9391284,0.9367771
1.2.826.0.1.3680043.21321,0.98944896,0.9177866,0.9399203,0.9316062,0.927275,0.923884,0.9270712,0.9298423,0.9281979
1.2.826.0.1.3680043.21651,0.99645025,0.914622,0.92337304,0.9208193,0.91751534,0.91563296,0.9198779,0.9230754,0.91927373
1.2.826.0.1.3680043.23904,0.9981189,0.871481,0.85909986,0.8157317,0.8382377,0.8309855,0.80974936,0.86513793,0.84148896
1.2.826.0.1.3680043.25833,0.9962396,0.91119087,0.93896675,0.92010224,0.91277367,0.90904725,0.9151094,0.92442006,0.91880137
1.2.826.0.1.3680043.26110,0.9986321,0.85148954,0.84065485,0.8328239,0.8442076,0.85702735,0.8570771,0.88351166,0.8523988
1.2.826.0.1.3680043.26492,0.9957601,0.9243787,0.94093704,0.92514783,0.9213415,0.89769405,0.9263682,0.92965573,0.9236461
1.2.826.0.1.3680043.26498,0.99401116,0.90273404,0.91172117,0.8978888,0.8912173,0.8923781,0.87662053,0.9124146,0.89785343
1.2.826.0.1.3680043.26898,0.99688655,0.91228104,0.9303283,0.91518414,0.9163547,0.9143603,0.91223586,0.90736425,0.9154441
1.2.826.0.1.3680043.26979,0.9920044,0.92382824,0.9381999,0.9234152,0.9141679,0.9161302,0.9225653,0.9300703,0.92405385
1.2.826.0.1.3680043.26990,0.99268234,0.9066317,0.9330513,0.90689814,0.9016633,0.90497094,0.9122728,0.9192555,0.9121062
1.2.826.0.1.3680043.27016,0.9938921,0.9317808,0.9500995,0.93206525,0.93185216,0.9323694,0.93555224,0.93943673,0.93616515
1.2.826.0.1.3680043.28327,0.9849897,0.9290232,0.9341004,0.9122738,0.9106053,0.8997447,0.89647615,0.9286113,0.91583353
1.2.826.0.1.3680043.28665,0.99617475,0.9393475,0.938353,0.9232844,0.91909766,0.9225363,0.93884736,0.93345827,0.9307035
1.2.826.0.1.3680043.30524,0.99538004,0.9106394,0.9309161,0.92175746,0.9219202,0.92049897,0.915357,0.9265833,0.921096
1.2.826.0.1.3680043.30640,0.9909135,0.92708904,0.9399448,0.9236077,0.9214252,0.9281055,0.9307895,0.94019765,0.9301656
1.2.826.0.1.3680043.31077,0.9950381,0.9341172,0.94037455,0.935061,0.9138178,0.9105821,0.9064795,0.9286958,0.9241611
1.2.826.0.1.3680043.3168,0.9971874,0.938235,0.946908,0.9420494,0.91944087,0.9255695,0.9315463,0.93269706,0.9337779
1.2.826.0.1.3680043.32071,0.9898674,0.9350426,0.94483864,0.9062229,0.9001771,0.91361165,0.9252227,0.9413745,0.92378426
1.2.826.0.1.3680043.32436,0.9919632,0.919579,0.93065196,0.91280067,0.90792847,0.87404865,0.8862723,0.92980087,0.90872604
1.2.826.0.1.3680043.3882,0.99724084,0.9062156,0.92779726,0.9084079,0.9033562,0.9003926,0.90917516,0.9197422,0.9107266
